"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X40"
"52" 0 5 0 0 0 1 0 1 0 1 0 0 2 2 0 0 0 6 0 0 0 1 0 0 0 1 0 0 0 4 0 0 0 1 0 0 0 6 0 0
"53" 0 0 5 0 0 0 4 0 1 0 2 0 0 0 3 0 0 0 3 0 0 0 4 0 0 0 3 0 0 0 1 0 0 0 2 0 0 0 3 0
"54" 0 2 0 0 0 3 1 0 0 2 0 0 1 3 1 1 1 2 1 0 0 2 0 0 0 4 0 0 0 2 0 0 0 1 0 1 0 3 0 0
"55" 0 4 0 0 0 3 1 0 0 1 0 0 0 4 0 1 0 4 0 0 0 1 0 0 0 3 0 1 0 4 0 0 1 2 0 0 0 3 0 0
"56" 0 0 0 2 0 0 0 7 0 0 0 3 1 0 0 5 0 1 0 3 0 0 0 3 0 0 0 1 0 0 0 3 0 0 0 2 0 0 0 2
"57" 0 5 0 0 0 2 0 0 0 4 0 0 4 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 4 0 0 0 0 7 0 0
"58" 0 0 1 0 0 0 4 0 0 0 2 0 0 0 1 1 0 0 5 0 0 0 2 0 0 1 2 0 0 0 1 0 0 0 3 0 0 0 2 0
"59" 0 0 0 3 2 0 0 0 0 1 0 2 3 0 0 0 2 0 0 0 3 0 0 1 0 0 0 3 3 0 0 1 3 0 0 0 5 0 0 0
"60" 0 1 0 1 0 0 0 1 0 0 0 3 0 0 0 3 0 0 0 3 0 1 0 2 0 0 0 1 0 0 0 3 0 0 0 1 0 0 0 1
"61" 3 0 0 0 5 0 0 0 4 0 0 0 4 0 0 0 1 0 0 0 1 0 0 0 5 0 0 0 3 0 1 0 2 0 0 1 1 0 0 0
"62" 2 0 0 0 1 0 0 0 3 0 0 0 2 1 0 0 1 0 1 1 3 0 0 0 2 1 0 0 4 0 0 0 3 0 0 0 4 0 0 0
"63" 4 0 0 0 3 0 0 0 3 0 0 0 1 0 0 0 2 0 0 0 3 0 0 0 3 1 1 1 2 0 0 1 2 0 0 0 2 0 0 0
"64" 0 6 0 0 0 2 0 0 0 4 0 0 0 2 0 0 1 4 0 0 0 2 0 0 0 1 0 0 0 2 0 1 0 2 0 0 0 3 0 1
"65" 1 0 0 0 2 0 0 0 5 0 0 0 4 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0
"66" 4 0 0 0 0 2 0 0 0 4 0 1 0 1 0 0 3 0 0 0 0 1 0 0 1 4 0 0 0 2 0 0 0 4 0 1 0 4 0 0
"67" 0 0 1 1 0 0 1 0 0 0 1 0 0 0 6 0 0 0 5 0 0 0 0 1 0 1 6 0 0 0 3 0 0 1 0 5 0 0 5 0
"68" 0 7 0 0 0 1 0 0 0 1 0 0 1 5 0 0 0 2 0 0 0 4 1 0 0 5 0 0 0 3 0 1 0 0 1 0 0 1 0 1
"69" 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 5 0 0 0 3 2 0 0 3 0 0 0 3 0 0 0 4 0 0 0 6
"70" 2 1 0 0 5 1 0 0 0 4 1 0 0 3 0 0 0 2 0 0 0 1 0 0 1 2 0 1 0 1 1 0 0 1 0 0 1 4 0 0
"71" 0 0 0 1 0 1 0 0 2 0 0 0 4 0 0 0 3 0 0 0 4 0 0 0 2 0 0 0 1 1 0 0 1 0 0 1 4 0 1 0
"72" 0 0 4 0 0 0 0 1 0 0 3 0 0 1 0 1 0 0 0 3 0 0 0 3 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0
"73" 3 0 0 0 2 1 0 1 2 0 0 0 3 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 2 1 0 0 2 0 0 0 1 0 0 0
"74" 0 1 0 0 0 0 0 4 0 0 1 0 1 0 0 2 0 4 0 0 0 4 0 0 0 5 0 0 1 2 0 0 0 2 0 0 0 0 0 4
"75" 0 0 0 1 2 0 1 0 3 0 0 1 2 0 0 0 2 0 0 0 1 0 1 0 5 1 0 0 4 0 0 0 0 0 0 4 2 0 0 0
"76" 1 0 0 0 0 0 0 3 0 1 1 2 1 0 2 0 0 0 3 0 0 2 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 2
"77" 0 0 2 1 0 0 3 0 0 0 0 2 1 0 2 0 3 0 0 0 1 1 4 0 0 0 5 1 0 0 3 0 0 0 7 1 0 0 4 0
"78" 0 0 3 0 1 0 3 0 0 0 2 0 0 0 2 0 0 1 4 0 0 0 2 0 0 0 2 0 2 0 4 0 0 0 2 0 3 0 0 1
"79" 2 0 0 0 3 0 0 0 4 0 0 0 3 1 0 0 2 0 0 0 3 0 0 1 0 2 0 0 1 0 0 0 2 0 0 0 0 3 0 0
"80" 0 0 0 1 0 0 0 3 0 0 1 0 1 0 0 3 0 0 0 2 0 0 0 2 0 1 0 0 1 0 0 2 0 1 2 0 0 0 1 1
"81" 4 0 0 0 1 0 0 0 2 0 0 0 4 0 0 0 1 0 0 0 3 0 0 0 2 0 1 0 2 0 0 0 2 0 0 0 4 0 0 1
"82" 0 0 3 0 0 0 2 0 0 0 3 0 1 0 3 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 4 0
"83" 6 0 0 0 6 0 0 1 2 0 0 0 6 0 0 0 3 0 0 0 0 0 1 0 3 0 0 0 3 0 0 0 0 3 0 0 5 0 0 0
"84" 0 1 0 2 0 0 0 2 0 0 0 3 0 0 0 4 1 1 0 1 0 0 0 2 0 0 1 5 0 0 0 2 0 0 0 2 0 0 0 3
"85" 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 2 0 1 0 2 0 0 0 4 0 0 0 3 0 0 0 2 0 1 0 2 0 0 0 3
"86" 1 0 0 1 2 0 0 0 5 0 0 0 0 1 2 0 0 0 2 0 0 0 4 0 0 0 5 1 3 0 0 0 1 0 1 0 0 0 1 0
"87" 3 0 0 0 0 0 1 0 0 0 0 3 0 0 4 0 2 0 0 0 0 0 2 0 3 0 1 0 2 0 0 0 3 0 0 0 3 0 0 0
"88" 0 0 3 0 0 0 3 0 0 0 3 0 0 0 1 0 1 0 4 0 0 0 1 1 0 1 2 0 0 0 2 0 0 0 2 0 0 0 2 0
"89" 1 0 0 1 3 0 0 0 4 0 0 0 0 2 0 0 0 0 0 4 0 0 0 3 0 1 0 4 0 0 0 4 1 3 0 0 0 0 0 3
"90" 2 0 0 0 2 0 0 0 2 0 0 1 4 0 1 0 2 0 0 0 2 1 0 0 2 0 0 0 4 0 0 0 5 0 0 0 2 0 1 0
"91" 5 0 0 0 6 0 0 0 5 0 0 0 4 1 0 0 3 0 0 0 6 0 0 1 3 0 0 0 3 0 0 0 3 0 0 0 2 0 0 0
"92" 2 0 0 0 0 0 5 0 2 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 0 0 6 0 2 0 0 0 0 0 3 0 4 0 0 0
"93" 0 0 0 2 0 0 0 3 0 0 1 4 0 0 0 1 0 0 0 4 0 0 0 4 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 2
"94" 2 0 0 0 5 1 1 0 3 0 0 0 4 0 0 0 2 0 0 0 1 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 2 0 0 0
"95" 0 0 6 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 4 0 0 0 1 0 1 0 6 0 0 0 1 0 0 0 1 0 0 0 0 1
"96" 0 0 2 0 0 0 3 0 0 3 0 0 0 0 3 0 1 0 2 0 0 0 3 0 1 0 4 0 0 1 2 0 0 1 2 0 0 0 2 0
"97" 1 3 0 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 2 0 1 0 2 0 0 0 5 0
"98" 3 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 3 0 0 0 2 0 1 0 1 0 0 0 3 1 0 0 4 0 0 1 2 0 0 0
"99" 0 2 0 0 0 1 0 0 0 1 0 0 1 4 0 0 0 2 0 0 0 4 1 0 0 1 0 1 0 3 0 0 0 2 0 0 0 4 0 0
"100" 0 0 1 0 1 0 0 0 0 0 4 0 0 0 3 0 1 0 3 0 0 0 1 0 0 1 3 0 0 0 0 4 1 0 1 0 0 0 1 3
